team,comparison_team,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
Norwich City,Stoke City,2.598810,0.351546,0.351546,0.834654,0.834654,-0.345930,0.345930,2.378607,2.378607,0.395148,0.395148
Norwich City,Sunderland,3.799334,1.205299,1.205299,-1.063543,1.063543,0.127081,0.127081,3.370760,3.370760,-0.687673,0.687673
Norwich City,Swansea City,2.290533,0.070309,0.070309,1.584461,1.584461,-1.161389,1.161389,1.172661,1.172661,0.084401,0.084401
Norwich City,Tottenham Hotspur,5.157072,-1.104858,1.104858,1.402929,1.402929,-3.226772,3.226772,3.025107,3.025107,-1.960395,1.960395
Norwich City,Watford,2.858839,0.512252,0.512252,-0.357145,0.357145,-0.019398,0.019398,2.597521,2.597521,-1.017602,1.017602
Norwich City,West Bromwich Albion,2.079896,1.004416,1.004416,-0.712317,0.712317,0.135537,0.135537,1.573363,1.573363,0.562031,0.562031
Norwich City,West Ham United,2.044714,0.020088,0.020088,0.479482,0.479482,0.091021,0.091021,0.768119,0.768119,-1.830917,1.830917
Southampton,AFC Bournemouth,2.656848,-0.220972,0.220972,0.830708,0.830708,-0.895041,0.895041,-1.444063,1.444063,1.852976,1.852976
Southampton,Arsenal,3.277528,-1.265564,1.265564,1.389117,1.389117,0.039045,0.039045,0.828288,0.828288,2.554076,2.554076
Southampton,Aston Villa,2.532516,0.672959,0.672959,0.471589,0.471589,0.966166,0.966166,-0.524881,0.524881,2.128237,2.128237
Southampton,Chelsea,1.941020,-1.064681,1.064681,1.152336,1.152336,-0.388953,0.388953,0.375098,0.375098,1.007052,1.007052
Southampton,Crystal Palace,2.590866,0.994372,0.994372,-0.769539,0.769539,0.112409,0.112409,-1.150898,1.150898,1.947927,1.947927
Southampton,Everton,1.607756,0.251104,0.251104,0.878064,0.878064,0.667488,0.667488,0.801404,0.801404,0.814274,0.814274
Southampton,Leicester City,2.183680,0.873842,0.873842,-1.588408,1.588408,0.656048,0.656048,-0.894858,0.894858,-0.500649,0.500649
